PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1258,3,"Caram, Mr. Joseph",male,,1,0,2689,14.4583,,C
1274,3,"Risien, Mrs. Samuel (Emma)",female,,0,0,364498,14.5,,S
1214,2,"Nesson, Mr. Israel",male,26.0,0,0,244368,13.0,F2,S
906,1,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)",female,47.0,1,0,W.E.P. 5734,61.175,E31,S
948,3,"Cor, Mr. Bartol",male,35.0,0,0,349230,7.8958,,S
1066,3,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40.0,1,5,347077,31.3875,,S
1184,3,"Nasr, Mr. Mustafa",male,,0,0,2652,7.2292,,C
937,3,"Peltomaki, Mr. Nikolai Johannes",male,25.0,0,0,STON/O 2. 3101291,7.925,,S
964,3,"Nieminen, Miss. Manta Josefina",female,29.0,0,0,3101297,7.925,,S
1095,2,"Quick, Miss. Winifred Vera",female,8.0,1,1,26360,26.0,,S
1262,2,"Giles, Mr. Edgar",male,21.0,1,0,28133,11.5,,S
1011,2,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female,29.0,1,0,SC/AH 29037,26.0,,S
918,1,"Ostby, Miss. Helene Ragnhild",female,22.0,0,1,113509,61.9792,B36,C
1151,3,"Midtsjo, Mr. Karl Albert",male,21.0,0,0,345501,7.775,,S
1289,1,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,48.0,1,1,13567,79.2,B41,C
1043,3,"Matinoff, Mr. Nicola",male,,0,0,349255,7.8958,,C
999,3,"Ryan, Mr. Edward",male,,0,0,383162,7.75,,Q
940,1,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,0,0,11813,76.2917,D15,C
1250,3,"O'Keefe, Mr. Patrick",male,,0,0,368402,7.75,,Q
1008,3,"Thomas, Mr. John",male,,0,0,2681,6.4375,,C
1060,1,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",female,,0,0,17770,27.7208,,C
